,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC
XGBoost,0.9219470745326536,0.9547130023821879,0.6829268292682927,0.5732758620689655,0.6233157586408905,0.5829136855117846
Decision Tree,0.9161204175770818,0.9213254457757442,0.6357388316151202,0.5980603448275862,0.6163242642976124,0.5696215133007397
Random Forest,0.9210973537266327,0.9534218890041984,0.7050147492625368,0.5150862068965517,0.5952677459526775,0.5610908918426557
Logistic Regression,0.913814032532168,0.9369539836784753,0.7003676470588235,0.4105603448275862,0.5176630434782609,0.4942903830842881
Naive Bayes,0.85360524399126,0.8606345670786357,0.4023876404494382,0.6174568965517241,0.4872448979591837,0.41893814652819206
K-Nearest Neighbors,0.9026462733673222,0.8595774712250578,0.6097560975609756,0.3771551724137931,0.46604527296937415,0.430296223208791
